filename,denomination_class,condition,is_torn
train_100k_backlight_0001_jpg.rf.WMHOUSo8P4ZMzNHK4O6P.jpg,100000,backlight,false
train_100k_backlight_0002_jpg.rf.Rr80bwosLKySjlzyLuBz.jpg,100000,backlight,false
train_100k_backlight_0003_jpg.rf.Zh6llfTOQn43SaVKxuZT.jpg,100000,backlight,false
train_100k_backlight_0004_jpg.rf.Tn2OlT8qGcHoTii2GC2w.jpg,100000,backlight,false
train_100k_backlight_0005_jpg.rf.Zl7W048fq6NmJacdXkTg.jpg,100000,backlight,false
train_100k_backlight_0006_jpg.rf.An3arNr2cLUoel4ija6w.jpg,100000,backlight,false
train_100k_backlight_0007_jpg.rf.bvtUbJyzebFqGAHWXoK3.jpg,100000,backlight,false
train_100k_backlight_0008_jpg.rf.nwzKrw6bOeNkSKhHpvmX.jpg,100000,backlight,false
train_100k_backlight_0009_jpg.rf.b7gmBOjH9eDarALajMrD.jpg,100000,backlight,false
train_100k_backlight_0010_jpg.rf.fq4aK1rsM76JUOghnxxT.jpg,100000,backlight,false
train_100k_backlight_0011_jpg.rf.Xo0vMlbKmRxAuMciNWWx.jpg,100000,backlight,false
train_100k_backlight_0012_jpg.rf.fZJBpQaQOYJ03xQlkeK9.jpg,100000,backlight,false
train_100k_backlight_0013_jpg.rf.kcLRTMocVjBSpSStFi4f.jpg,100000,backlight,false
train_100k_backlight_0014_jpg.rf.r8Lr7SICFY84IhMGHu8F.jpg,100000,backlight,false
train_100k_backlight_0015_jpg.rf.xrEZMe0L0bsFvHuOTv1Z.jpg,100000,backlight,false
train_100k_backlight_0016_jpg.rf.SDx5ISsm3ie8leHdGI1Y.jpg,100000,backlight,false
train_100k_backlight_0017_jpg.rf.ORlW4NkCDdiTyxA0bJIa.jpg,100000,backlight,false
train_100k_backlight_0018_jpg.rf.364GUclgLpqK3gzck7yx.jpg,100000,backlight,false
train_100k_backlight_0019_jpg.rf.MeKE1xQ3s73ZphvGBOio.jpg,100000,backlight,false
train_100k_backlight_0020_jpg.rf.2ZOjjborBX9hWwWzjaSe.jpg,100000,backlight,false
train_100k_backlight_0021_jpg.rf.zx9yNGjJ0CEpPBP079Hg.jpg,100000,backlight,false
train_100k_backlight_0022_jpg.rf.PPYoppGjhStEkn9Dtb1w.jpg,100000,backlight,false
train_100k_backlight_0023_jpg.rf.23TIShWiD1DE1d9hxP0Y.jpg,100000,backlight,false
train_100k_backlight_0024_jpg.rf.vMbT0HnHPqp7Q2KVSYHQ.jpg,100000,backlight,false
train_100k_backlight_0025_jpg.rf.GNg5NSMu6thSuh1efyf0.jpg,100000,backlight,false
train_100k_backlight_0026_jpg.rf.XNXki54EjsNC5WupELPL.jpg,100000,backlight,false
train_100k_backlight_0027_jpg.rf.ZO8S23rf7NUYG6YHgeK9.jpg,100000,backlight,false
train_100k_backlight_0028_jpg.rf.iaPS3BQ9Km1USKWMzIhJ.jpg,100000,backlight,false
train_100k_backlight_0029_jpg.rf.CCZ3ysRWkMHmt0HvtMsp.jpg,100000,backlight,false
train_100k_backlight_0030_jpg.rf.69X9BE1qcWxwiaTwEoID.jpg,100000,backlight,false
train_100k_backlight_0031_jpg.rf.vMXdGYqtCbUh55Anu0pN.jpg,100000,backlight,false
train_100k_backlight_0032_jpg.rf.yZTV515pVN5HYNyivp37.jpg,100000,backlight,false
train_100k_backlight_0033_jpg.rf.hiLNPtiV5fmFsYaCeKbU.jpg,100000,backlight,false
train_100k_backlight_0034_jpg.rf.N9AIkQ1Y1r3v4fzvkF77.jpg,100000,backlight,false
train_100k_backlight_0035_jpg.rf.UythOC74cRlru9kMW2WW.jpg,100000,backlight,false
train_100k_indoor_0001_jpg.rf.Eq77pjo7Z5XziYotsVB6.jpg,100000,indoor,false
