filename,img_path,lbl_path,denomination_class,condition,is_torn,augmentation_type,pair_id,orig_img_path
train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5.jpg,/home/thaimq/CashVision/results/protocol_a_kfold/fold_2/train/images/train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5.jpg,/home/thaimq/CashVision/results/protocol_a_kfold/fold_2/train/labels/train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5.txt,20000,torn_clean,true,original,train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5,/home/thaimq/CashVision/results/protocol_a_kfold/fold_2/train/images/train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5.jpg
train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5_photo.jpg,/home/thaimq/CashVision/results_c2/fold_1/val_augmented/images/train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5_photo.jpg,/home/thaimq/CashVision/results_c2/fold_1/val_augmented/labels/train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5_photo.txt,20000,torn_clean,true,photometric,train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5,/home/thaimq/CashVision/results/protocol_a_kfold/fold_2/train/images/train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5.jpg
train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5_light.jpg,/home/thaimq/CashVision/results_c2/fold_1/val_augmented/images/train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5_light.jpg,/home/thaimq/CashVision/results_c2/fold_1/val_augmented/labels/train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5_light.txt,20000,light_aug,true,light_pair,train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5,/home/thaimq/CashVision/results/protocol_a_kfold/fold_2/train/images/train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5.jpg
train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5_dark.jpg,/home/thaimq/CashVision/results_c2/fold_1/val_augmented/images/train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5_dark.jpg,/home/thaimq/CashVision/results_c2/fold_1/val_augmented/labels/train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5_dark.txt,20000,dark_aug,true,dark_pair,train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5,/home/thaimq/CashVision/results/protocol_a_kfold/fold_2/train/images/train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5.jpg
train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5_local.jpg,/home/thaimq/CashVision/results_c2/fold_1/val_augmented/images/train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5_local.jpg,/home/thaimq/CashVision/results_c2/fold_1/val_augmented/labels/train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5_local.txt,20000,local_aug,true,local_only,train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5,/home/thaimq/CashVision/results/protocol_a_kfold/fold_2/train/images/train_20k_torn_clean_0007_jpg.rf.yb9RvEER3DJP2xcqgrN5.jpg
train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx.jpg,/home/thaimq/CashVision/results/protocol_a_kfold/fold_2/val_indoor/images/train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx.jpg,/home/thaimq/CashVision/results/protocol_a_kfold/fold_2/val_indoor/labels/train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx.txt,500000,indoor,false,original,train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx,/home/thaimq/CashVision/results/protocol_a_kfold/fold_2/val_indoor/images/train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx.jpg
train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx_photo.jpg,/home/thaimq/CashVision/results_c2/fold_1/val_augmented/images/train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx_photo.jpg,/home/thaimq/CashVision/results_c2/fold_1/val_augmented/labels/train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx_photo.txt,500000,indoor,false,photometric,train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx,/home/thaimq/CashVision/results/protocol_a_kfold/fold_2/val_indoor/images/train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx.jpg
train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx_light.jpg,/home/thaimq/CashVision/results_c2/fold_1/val_augmented/images/train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx_light.jpg,/home/thaimq/CashVision/results_c2/fold_1/val_augmented/labels/train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx_light.txt,500000,light_aug,false,light_pair,train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx,/home/thaimq/CashVision/results/protocol_a_kfold/fold_2/val_indoor/images/train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx.jpg
train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx_dark.jpg,/home/thaimq/CashVision/results_c2/fold_1/val_augmented/images/train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx_dark.jpg,/home/thaimq/CashVision/results_c2/fold_1/val_augmented/labels/train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx_dark.txt,500000,dark_aug,false,dark_pair,train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx,/home/thaimq/CashVision/results/protocol_a_kfold/fold_2/val_indoor/images/train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx.jpg
train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx_local.jpg,/home/thaimq/CashVision/results_c2/fold_1/val_augmented/images/train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx_local.jpg,/home/thaimq/CashVision/results_c2/fold_1/val_augmented/labels/train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx_local.txt,500000,local_aug,false,local_only,train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx,/home/thaimq/CashVision/results/protocol_a_kfold/fold_2/val_indoor/images/train_500k_indoor_0026_jpg.rf.QNCpLOogf4dhoZNNPQkx.jpg
train_500k_indoor_0027_jpg.rf.fkEFkHpEqeGz9Mripq5Y.jpg,/home/thaimq/CashVision/results/protocol_a_kfold/fold_2/train/images/train_500k_indoor_0027_jpg.rf.fkEFkHpEqeGz9Mripq5Y.jpg,/home/thaimq/CashVision/results/protocol_a_kfold/fold_2/train/labels/train_500k_indoor_0027_jpg.rf.fkEFkHpEqeGz9Mripq5Y.txt,500000,indoor,false,original,train_500k_indoor_0027_jpg.rf.fkEFkHpEqeGz9Mripq5Y,/home/thaimq/CashVision/results/protocol_a_kfold/fold_2/train/images/train_500k_indoor_0027_jpg.rf.fkEFkHpEqeGz9Mripq5Y.jpg
